iter	Passed	Remaining
0	132	198302
1	188	141207
2	248	123752
3	305	114087
4	438	131176
5	494	123183
6	552	117776
7	609	113639
8	745	123541
9	802	119541
10	857	116058
11	914	113393
12	1051	120306
13	1108	117614
14	1166	115478
15	1227	113816
16	1363	118906
17	1419	116875
18	1475	114987
19	1533	113470
20	1665	117307
21	1722	115697
22	1777	114171
23	1834	112826
24	1968	116147
25	2026	114859
26	2083	113648
27	2141	112601
28	2275	115422
29	2334	114385
30	2389	113229
31	2446	112250
32	2586	114961
33	2645	114048
34	2702	113098
35	2762	112335
36	2898	114607
37	2955	113705
38	3011	112822
39	3070	112089
40	3206	114094
41	3262	113259
42	3317	112420
43	3375	111701
44	3510	113505
45	3569	112814
46	3624	112035
47	3682	111389
48	3816	113027
49	3874	112373
50	3931	111714
51	3991	111157
52	4123	112582
53	4182	112009
54	4238	111369
55	4297	110809
56	4433	112233
57	4488	111596
58	4548	111087
59	4606	110552
60	4738	111784
61	4794	111207
62	4852	110682
63	4909	110155
64	5043	111340
65	5100	110817
66	5156	110293
67	5214	109818
68	5350	110973
69	5406	110451
70	5463	109955
71	5519	109478
72	5656	110568
73	5713	110105
74	5769	109628
75	5828	109201
76	5963	110214
77	6022	109791
78	6077	109323
79	6133	108877
80	6270	109843
81	6328	109444
82	6384	108992
83	6441	108577
84	6573	109428
85	6629	109006
86	6685	108583
87	6741	108175
88	6879	109069
89	6936	108665
90	6992	108267
91	7050	107896
92	7185	108706
93	7241	108320
94	7299	107950
95	7358	107620
96	7492	108377
97	7551	108025
98	7605	107633
99	7663	107295
100	7799	108027
101	7856	107677
102	7911	107309
103	7970	106983
104	8102	107646
105	8160	107313
106	8215	106952
107	8273	106637
108	8406	107275
109	8462	106941
110	8519	106606
111	8576	106287
112	8711	106932
113	8768	106601
114	8825	106286
115	8883	105986
116	9015	106573
117	9075	106289
118	9132	105982
119	9190	105693
120	9324	106271
121	9380	105957
122	9436	105638
123	9494	105361
124	9625	105878
125	9681	105572
126	9738	105279
127	9795	104994
128	9925	105492
129	9981	105193
130	10036	104885
131	10095	104628
132	10230	105150
133	10288	104881
134	10344	104590
135	10401	104324
136	10538	104849
137	10594	104563
138	10651	104297
139	10708	104029
140	10845	104527
141	10901	104255
142	10956	103976
143	11015	103726
144	11152	104215
145	11208	103946
146	11266	103693
147	11324	103447
148	11458	103899
149	11515	103637
150	11570	103371
151	11629	103131
152	11765	103583
153	11823	103338
154	11879	103080
155	11937	102845
156	12070	103255
157	12127	103010
158	12185	102770
159	12241	102523
160	12377	102942
161	12432	102679
162	12487	102425
163	12544	102193
164	12679	102591
165	12736	102348
166	12791	102103
167	12847	101865
168	12981	102238
169	13037	101999
170	13094	101766
171	13151	101540
172	13284	101898
173	13340	101660
174	13398	101448
175	13456	101227
176	13592	101597
177	13648	101366
178	13705	101143
179	13762	100927
180	13896	101268
181	13954	101053
182	14010	100826
183	14067	100613
184	14203	100957
185	14258	100729
186	14315	100516
187	14372	100300
188	14505	100618
189	14559	100385
190	14615	100166
191	14674	99969
192	14809	100292
193	14866	100080
194	14923	99873
195	14978	99654
196	15112	99956
197	15169	99747
198	15225	99541
199	15283	99341
200	15415	99625
201	15470	99407
202	15527	99208
203	15584	99008
204	15718	99296
205	15775	99096
206	15830	98886
207	15888	98693
208	16023	98980
209	16079	98776
210	16137	98582
211	16195	98394
212	16329	98666
213	16384	98460
214	16442	98272
215	16498	98074
216	16634	98349
217	16690	98153
218	16747	97963
219	16806	97783
220	16939	98033
221	16995	97839
222	17053	97653
223	17110	97465
224	17244	97720
225	17301	97534
226	17357	97339
227	17413	97151
228	17546	97385
229	17603	97201
230	17658	97005
231	17714	96818
232	17848	97054
233	17903	96863
234	17959	96676
235	18018	96507
236	18150	96725
237	18204	96528
238	18259	96341
239	18316	96163
240	18449	96382
241	18507	96206
242	18563	96024
243	18620	95848
244	18758	96087
245	18815	95914
246	18871	95734
247	18928	95560
248	19062	95770
249	19119	95598
250	19175	95419
251	19233	95251
252	19366	95454
253	19423	95283
254	19478	95100
255	19536	94932
256	19672	95148
257	19726	94962
258	19783	94793
259	19840	94624
260	19974	94822
261	20030	94648
262	20085	94471
263	20141	94299
264	20274	94486
265	20328	94307
266	20384	94133
267	20444	93982
268	20577	94167
269	20635	94005
270	20693	93845
271	20749	93675
272	20881	93851
273	20939	93692
274	20997	93533
275	21053	93368
276	21191	93563
277	21248	93400
278	21304	93235
279	21358	93063
280	21490	93227
281	21547	93067
282	21602	92897
283	21661	92745
284	21795	92915
285	21849	92746
286	21908	92594
287	21965	92437
288	22098	92598
289	22154	92437
290	22211	92278
291	22267	92119
292	22402	92284
293	22460	92134
294	22515	91969
295	22573	91817
296	22707	91978
297	22763	91818
298	22819	91659
299	22875	91503
300	23009	91654
301	23067	91504
302	23120	91337
303	23179	91191
304	23315	91349
305	23372	91198
306	23427	91038
307	23485	90891
308	23616	91025
309	23672	90873
310	23729	90723
311	23787	90575
312	23918	90708
313	23972	90546
314	24030	90398
315	24086	90247
316	24222	90394
317	24277	90239
318	24333	90087
319	24389	89935
